full_name,name,owner,owner_type,created_at,updated_at,forks_count,stars_count,default_branch,topics,language,open_issues_count,open_pull_requests_count,branches_count,tags_count,commits_count,watchers_count,releases_count,packages_count,contributors_count,languages,close_issues_count,issues_count,close_pull_requests_count,pull_requests_count
openweave/openweave-core,openweave-core,openweave,Organization,2017-08-30T18:22:10Z,2023-01-27T19:50:35Z,111,225,master,[],C++,56,23,118,7,1915,47,0,0,58,"['C++', 'Python', 'C', 'Makefile', 'Objective-C++', 'Java']",68,124,546,569
project-chip/connectedhomeip,connectedhomeip,project-chip,Organization,2020-03-03T17:05:10Z,2023-02-19T10:14:08Z,1326,5710,master,"['build-with-matter', 'chip', 'connected-devices', 'connected-home', 'connectedhomeip', 'connectivity-standards-alliance', 'csa-iot', 'internet-of-things', 'iot', 'matter', 'standard']",C++,817,84,36,21,11292,186,14,0,374,"['C++', 'Python', 'C', 'ZAP', 'Objective-C', 'Objective-C++']",7739,8556,16526,16610
project-chip/zap,zap,project-chip,Organization,2020-03-27T19:01:59Z,2023-02-18T10:50:28Z,61,88,master,[],ZAP,108,12,9,23,3518,21,23,0,37,"['ZAP', 'JavaScript', 'Vue', 'TypeScript', 'Shell', 'Sass']",213,321,603,615
andy31415/rs-value-plotter,rs-value-plotter,andy31415,User,2022-01-22T02:50:36Z,2023-02-18T18:42:56Z,5,29,master,[],Rust,1,0,1,0,13,3,0,0,0,['Rust'],1,2,0,0
andy31415/rust-esp32-c3-demos,rust-esp32-c3-demos,andy31415,User,2022-03-13T19:03:47Z,2023-01-16T08:18:34Z,3,19,master,[],Rust,2,0,2,0,3,2,0,0,0,['Rust'],0,2,0,0
andy31415/rust-cortex-m0-demos,rust-cortex-m0-demos,andy31415,User,2022-03-12T15:35:45Z,2022-12-07T07:42:33Z,2,9,master,[],Rust,0,0,10,0,12,1,0,0,0,"['Rust', 'GDB']",0,0,0,0
andy31415/rust-stm32f3-discovery-adc-heart-sensor,rust-stm32f3-discovery-adc-heart-sensor,andy31415,User,2022-01-13T01:28:15Z,2023-02-17T01:13:55Z,1,7,master,[],Rust,0,0,1,0,7,1,0,0,0,['Rust'],0,0,0,0
andy31415/rust_stm32f411_demos,rust_stm32f411_demos,andy31415,User,2022-05-30T00:25:43Z,2022-11-07T18:35:30Z,1,7,master,[],Rust,0,0,1,0,21,1,0,0,0,"['Rust', 'GDB']",0,0,0,0
andy31415/sublime-matter-docker-builder,sublime-matter-docker-builder,andy31415,User,2022-01-11T02:41:28Z,2022-11-08T13:16:21Z,0,4,master,[],Python,0,0,1,0,16,1,0,0,0,['Python'],0,0,0,0
nestlabs/nlbuild-autotools,nlbuild-autotools,nestlabs,Organization,2017-06-28T15:21:12Z,2023-01-28T04:12:21Z,11,4,master,[],M4,4,0,3,37,151,10,1,0,8,"['M4', 'Makefile', 'Shell']",11,15,57,57
vansante/github-pr-labeler,github-pr-labeler,vansante,User,2019-07-17T09:45:39Z,2022-11-24T11:54:34Z,4,9,master,"['github-app', 'labeling', 'labeling-tool', 'probot', 'probot-app', 'pull-request']",JavaScript,0,0,1,0,22,1,0,0,2,"['JavaScript', 'Shell']",0,0,7,7
GoogleCloudPlatform/cloud-build-samples,cloud-build-samples,GoogleCloudPlatform,Organization,2021-03-04T21:25:11Z,2023-02-16T17:51:12Z,708,108,main,['samples'],Java,3,1,4,0,289,9,0,0,20,"['Java', 'HCL', 'Shell', 'Python', 'Dockerfile', 'JavaScript']",40,43,140,141
mspang/inapt,inapt,mspang,User,2009-12-23T04:46:26Z,2017-01-23T14:44:07Z,2,3,master,[],C++,0,0,1,0,106,3,0,0,3,"['C++', 'C']",0,0,4,4
mspang/mntfs,mntfs,mspang,User,2011-04-05T03:25:16Z,2014-02-03T14:19:24Z,0,1,master,[],C,0,0,1,0,3,2,0,0,0,['C'],0,0,0,0
mspang/mkcrt,mkcrt,mspang,User,2011-04-08T23:55:05Z,2013-10-30T08:53:11Z,0,1,master,[],,0,0,1,0,1,2,0,0,0,[],0,0,0,0
neuros/u-boot,u-boot,neuros,User,2008-09-11T22:53:21Z,2022-10-19T11:38:15Z,7,17,master,[],C,0,0,2,0,4453,9,0,0,20,['C'],0,0,0,0
catapult-project/catapult,catapult,catapult-project,Organization,2015-04-14T17:49:05Z,2023-02-17T04:16:22Z,567,1829,main,[],HTML,1000,12,5,0,17378,160,0,0,251,"['HTML', 'Python', 'JavaScript', 'Go', 'C++', 'CSS']",3579,4579,28,40
Damian-Nordic/matter-tips,matter-tips,Damian-Nordic,User,2022-10-26T13:51:14Z,2022-11-03T15:46:04Z,0,1,master,[],,0,0,1,0,1,1,0,0,0,[],0,0,0,0
zephyrproject-rtos/zephyr,zephyr,zephyrproject-rtos,Organization,2016-05-26T17:54:19Z,2023-02-19T15:17:05Z,4572,7293,main,"['bluetooth', 'bluetooth-le', 'embedded', 'embedded-c', 'iot', 'mcu', 'microcontroller', 'real-time', 'rtos', 'zephyr', 'zephyr-rtos', 'zephyros']",C,1500,604,169,172,75026,380,106,0,1468,"['C', 'Python', 'CMake', 'Assembly', 'Perl', 'Shell']",15360,16860,36586,37190
nrfconnect/sdk-nrf,sdk-nrf,nrfconnect,Organization,2018-02-14T13:50:55Z,2023-02-19T10:04:03Z,935,603,main,[],C,0,132,28,79,13301,83,26,0,320,"['C', 'Python', 'CMake', 'ZAP', 'C++', 'Perl']",10221,10221,10221,10353
nrfconnect/sdk-nrfxlib,sdk-nrfxlib,nrfconnect,Organization,2018-09-21T11:46:24Z,2023-02-13T10:29:57Z,250,86,main,[],C,0,18,14,66,1107,61,14,0,117,"['C', 'CMake']",893,893,893,911
nrfconnect/sdk-connectedhomeip,sdk-connectedhomeip,nrfconnect,Organization,2020-12-08T10:50:54Z,2023-02-10T05:06:17Z,29,33,master,[],C++,0,2,8,42,10807,56,22,0,356,"['C++', 'Python', 'C', 'Objective-C', 'ZAP', 'Objective-C++']",215,215,215,217
openweave/happy,happy,openweave,Organization,2017-08-30T18:24:22Z,2022-04-17T16:00:44Z,22,41,master,[],Python,6,1,8,0,69,17,0,0,10,"['Python', 'Shell', 'Makefile']",9,15,32,33
openthread/openthread,openthread,openthread,Organization,2016-04-08T20:47:41Z,2023-02-17T21:34:01Z,988,3075,main,"['embedded', 'google', 'hacktoberfest', 'ieee-802154', 'internet-of-things', 'iot', 'ipv6', 'mesh-networks', 'nest', 'openthread', 'wireless']",C++,79,32,1,5,6989,214,5,0,187,"['C++', 'Python', 'C', 'Shell', 'Makefile', 'CMake']",1359,1438,6972,7004
Orange-OpenSource/pandoc-terminal-writer,pandoc-terminal-writer,Orange-OpenSource,Organization,2018-08-16T17:29:42Z,2023-01-27T20:02:09Z,5,30,master,"['cyberpunk', 'document-reader', 'pandoc', 'terminal-based']",Lua,0,0,1,0,21,12,0,0,3,['Lua'],1,1,4,4
kpschoedel/actiontest,actiontest,kpschoedel,User,2021-11-15T16:08:56Z,2021-11-18T21:31:52Z,1,0,main,[],Shell,0,1,1,0,15,0,0,0,2,['Shell'],0,0,3,4
kghost/bilibili-area-limit,bilibili-area-limit,kghost,User,2019-04-15T20:06:22Z,2023-02-11T09:33:28Z,35,379,master,[],JavaScript,9,5,7,0,53,10,0,0,3,['JavaScript'],13,22,19,24
kghost/ics-openvpn,ics-openvpn,kghost,User,2012-03-11T11:42:37Z,2022-07-27T23:06:51Z,54,91,master,[],Java,0,0,1,0,29,14,0,0,0,"['Java', 'C']",4,4,0,0
lxqt/qterminal,qterminal,lxqt,Organization,2012-02-21T14:19:12Z,2023-02-19T15:15:13Z,138,499,master,[],C++,94,6,11,15,995,41,14,0,174,"['C++', 'CMake', 'C', 'Shell']",349,443,583,589
